ear_data,ear
2005-10-13,71723.48686
2005-10-14,71455.34969
2005-10-15,71259.18289
2005-10-16,71075.82435
2005-10-17,70735.34123
2005-10-18,70499.10417
2005-10-19,70274.39166
2005-10-20,70024.29676
2005-10-21,69729.22402000001
2005-10-22,69659.96991
2005-10-23,69586.50315
2005-10-24,69364.99644
2005-10-25,69108.19238000001
2005-10-26,68862.7499
2005-10-27,68592.47803
2005-10-28,68368.19149
2005-10-29,68353.72411
2005-10-30,68403.61696
2005-10-31,68504.94123
2005-11-01,68484.18968
2005-11-02,68565.60659
2005-11-03,68436.02734
2005-11-04,68303.70342
2005-11-05,68251.04488
2005-11-06,68255.6831
2005-11-07,68043.07698
2005-11-08,67933.62495
2005-11-09,67804.33639
2005-11-10,67653.3389
2005-11-11,67564.44685000001
2005-11-12,67517.39799
2005-11-13,67503.07907
2005-11-14,67295.026
2005-11-15,67200.54547
2005-11-16,66856.70048
2005-11-17,66601.32924
2005-11-18,66429.82179
2005-11-19,66351.56077
2005-11-20,66378.38299
2005-11-21,66207.70524
2005-11-22,66081.67214000001
2005-11-23,65908.66823
2005-11-24,65774.37992
2005-11-25,65734.04749
2005-11-26,66097.87095
2005-11-27,66394.09266000001
2005-11-28,66507.72193
2005-11-29,66547.84901
2005-11-30,66769.28499
2005-12-01,67013.90494000001
2005-12-02,67378.21779000001
2005-12-03,67791.48721
2005-12-04,68205.52958
2005-12-05,68455.90826
2005-12-06,68703.72669
2005-12-07,69330.31147
2005-12-08,69838.66433
2005-12-09,70115.48236
2005-12-10,70399.43491
2005-12-11,70941.9998
2005-12-12,71740.77307
2005-12-13,72360.28707
2005-12-14,72933.71680000001
2005-12-15,73376.93608
2005-12-16,73750.47573
2005-12-17,74013.05981
2005-12-18,74369.68473000001
2005-12-19,74622.0279
2005-12-20,74769.94748
2005-12-21,74866.47778
2005-12-22,74918.04438
2005-12-23,74997.90828
2005-12-24,75003.24148
2005-12-25,75266.27226
2005-12-26,75354.49765
2005-12-27,75401.11388
2005-12-28,75450.7301
2005-12-29,75543.17538
2005-12-30,75644.72684
2005-12-31,75756.14335
2006-01-01,75992.60019
2006-01-02,76241.21287999999
2006-01-03,76650.48228
2006-01-04,77250.4646
2006-01-05,78132.82495
2006-01-06,78852.76976000001
2006-01-07,79393.55447999999
2006-01-08,80002.84861
2006-01-09,80468.86173
2006-01-10,80816.74929
2006-01-11,81013.8168
2006-01-12,81182.33167
2006-01-13,81244.14619
2006-01-14,81149.5024
2006-01-15,81268.1954
2006-01-16,81175.62982
2006-01-17,81112.25521
2006-01-18,81089.38338
2006-01-19,80975.31453999999
2006-01-20,80886.50061
2006-01-21,80802.76458
2006-01-22,80884.57879
2006-01-23,80756.77262
2006-01-24,80597.17971
2006-01-25,80519.32295
2006-01-26,80421.48072
2006-01-27,80240.59744
2006-01-28,80265.50476
2006-01-29,80496.87647
2006-01-30,80616.00918
2006-01-31,80792.18343
2006-02-01,81013.95972
2006-02-02,81311.43496
2006-02-03,81384.24942000001
2006-02-04,81503.41048
2006-02-05,81681.23008
2006-02-06,81632.55733
2006-02-07,81571.71446
2006-02-08,81559.91343
2006-02-09,81604.98366
2006-02-10,81836.47615
2006-02-11,82238.22782
2006-02-12,82877.36538
2006-02-13,83367.85331
2006-02-14,83714.92523000001
2006-02-15,84092.84057
2006-02-16,84576.95274000001
2006-02-17,84935.8046
2006-02-18,85324.44317
2006-02-19,85814.8458
2006-02-20,86019.72174
2006-02-21,86318.19173
2006-02-22,86645.30656
2006-02-23,86953.55645
2006-02-24,87233.55162
2006-02-25,87518.34805
2006-02-26,87841.0019
2006-02-27,88032.92766
2006-02-28,88339.14927
2006-03-01,88495.43025
2006-03-02,88676.39882
2006-03-03,88786.63104000001
2006-03-04,88992.50684
2006-03-05,89412.03849
2006-03-06,89784.62079
2006-03-07,90197.55692
2006-03-08,90494.68658000001
2006-03-09,90684.20125
2006-03-10,90822.26286
2006-03-11,91004.13927
2006-03-12,91239.51104
2006-03-13,91291.43236
2006-03-14,91518.14498
2006-03-15,92148.55956
