nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-01;393.0;78.37;393.0;78.37
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2005-01-01;590.0;95.93;590.0;95.93
TUCURUI;275;Reservatório com Usina;TOCANTINS;;N;NORTE;2005-01-01;4141.0;50.7;4141.0;50.7
VOLTA GRANDE;11;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;453.0;84.94;453.0;84.94
XINGO;178;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;3750.0;75.14;3750.0;75.14
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;1598.0;93.65;1598.0;93.65
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-02;63.0;52.95;63.0;52.95
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2005-01-02;78.0;53.59;78.0;53.59
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2005-01-02;188.0;78.56;188.0;78.56
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2005-01-02;609.0;76.88;609.0;76.88
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;34.0;43.39;34.0;43.39
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;34.0;69.74;34.0;69.74
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-02;301.0;48.24;301.0;48.24
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2005-01-02;93.0;74.88;93.0;74.88
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;55.0;51.91;55.0;51.91
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;45.0;51.46;45.0;51.46
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-02;345.0;57.94;345.0;57.94
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-02;187.0;55.79;187.0;55.79
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;324.0;71.89;324.0;71.89
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2005-01-02;15.0;64.06;15.0;64.06
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2005-01-02;25.0;34.49;25.0;34.49
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;73.0;62.25;73.0;62.25
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;769.0;79.2;769.0;79.2
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;98.0;85.6;98.0;85.6
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;104.0;51.89;104.0;51.89
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;151.0;75.25;80.0;39.87
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;881.0;65.64;881.0;65.64
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2005-01-02;373.0;52.48;373.0;52.48
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2005-01-02;124.0;74.69;124.0;74.69
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2005-01-02;48.0;96.0;48.0;96.0
