din_instante,cmo
2016-07-22,66.75335
2016-07-29,66.2096024
2016-08-05,95.4878781
2016-08-12,94.38726170000001
2016-08-19,92.05482620000001
2016-08-26,76.2966318
2016-09-02,124.44307160000001
2016-09-09,122.78410000000001
2016-09-16,126.24174880000001
2016-09-23,128.247435
2016-09-30,147.24797890000002
2016-10-07,198.8560228
2016-10-14,203.9059218
2016-10-21,184.0063198
2016-10-28,152.65694680000001
2016-11-04,221.89797330000002
2016-11-11,224.395512
2016-11-18,216.97566039999998
2016-11-25,190.95618080000003
2016-12-02,172.8765424
2016-12-09,128.6197726
2016-12-16,152.35695280000002
2016-12-23,134.76730460000002
2016-12-30,107.1078578
2017-01-06,133.6373272
2017-01-13,93.93306559999999
2017-01-20,118.29383630000001
2017-01-27,116.69449889999999
2017-02-03,96.82110370000001
2017-02-10,107.8377595
2017-02-17,113.64649080000001
2017-02-24,111.12423419999999
2017-03-03,157.2712768
2017-03-10,168.9880369
2017-03-17,216.2244195
2017-03-24,217.0350267
2017-03-31,227.8486315
2017-04-07,391.3895771
2017-04-14,325.1874499
2017-04-21,319.74528960000004
2017-04-28,301.619329
2017-05-05,384.25534400000004
2017-05-12,393.27354090000006
2017-05-19,418.7806559
2017-05-26,454.16892640000003
2017-06-02,110.58249260000001
2017-06-09,75.46443640000001
2017-06-16,66.1270184
2017-06-23,110.2353882
2017-06-30,143.3326182
2017-07-07,230.2353952
2017-07-14,253.56492859999997
2017-07-21,270.7045858
2017-07-28,273.22453540000004
2017-08-04,514.1097176000001
2017-08-11,549.1790162000001
2017-08-18,519.4196113999999
2017-08-25,505.84988280000005
2017-09-01,445.85108280000003
2017-09-08,489.84020300000003
2017-09-15,599.888002
2017-09-22,672.7165454000001
2017-09-29,725.6854860000001
2017-10-06,709.885802
2017-10-13,690.736185
2017-10-20,860.8227832
2017-10-27,860.4327910000001
2017-11-03,823.1435368
2017-11-10,479.8704024
2017-11-17,476.8304632
2017-11-24,446.06107860000003
2017-12-01,204.3159136
2017-12-08,216.2356752
2017-12-15,212.4157516
2017-12-22,273.6045278
2017-12-29,241.1351772
2018-01-05,177.6678679
2018-01-12,161.16218
2018-01-19,146.38305179999998
2018-01-26,170.3747128
2018-02-02,149.9478645
2018-02-09,155.1774752
2018-02-16,137.172078
2018-02-23,180.70215330000002
2018-03-02,181.0146441
2018-03-09,205.263533
2018-03-16,214.32406010000003
2018-03-23,200.1071046
2018-03-30,210.70967280000002
2018-04-06,27.280554100000003
2018-04-13,85.9739891
2018-04-20,114.88741710000001
2018-04-27,124.433115
2018-05-04,191.7883708
2018-05-11,248.192059
2018-05-18,269.8762563
2018-05-25,286.93964040000003
2018-06-01,363.755193
2018-06-08,405.21763230000005
2018-06-15,462.84435899999994
2018-06-22,471.140577
2018-06-29,515.0396989999999
2018-07-06,517.6296472
2018-07-13,543.7391250000001
2018-07-20,588.288234
2018-07-27,603.8179234
2018-08-03,763.7547245999999
2018-08-10,784.8843019999999
2018-08-17,757.8248432
2018-08-24,763.6547266
2018-08-31,766.2646744
2018-09-07,472.34133160000005
2018-09-14,482.0703584
2018-09-21,478.9304212
2018-09-28,428.0514388
2018-10-05,387.0222594
2018-10-12,323.4035318
2018-10-19,267.29465400000004
2018-10-26,226.31547360000002
2018-11-02,136.80726380000002
2018-11-09,143.9271214
2018-11-16,114.4777104
2018-11-23,113.397732
2018-11-30,96.89806200000001
2018-12-07,54.13891720000001
2018-12-14,62.1887562
2018-12-21,68.5964702
2018-12-28,76.14696140000001
2019-01-04,113.00844149999999
2019-01-11,132.1635243
2019-01-18,147.7939172
2019-01-25,147.22940330000003
2019-02-01,291.8600656
2019-02-08,376.7198829
2019-02-15,434.06675120000006
2019-02-22,383.220333
2019-03-01,304.46782989999997
2019-03-08,222.61038050000002
2019-03-15,223.8325589
2019-03-22,176.5646347
2019-03-29,207.3765052
2019-04-05,154.8736965
2019-04-12,142.5166715
2019-04-19,138.1182885
2019-04-26,125.1267765
2019-05-03,103.7272065
2019-05-10,120.64956150000002
2019-05-17,66.01995
2019-05-24,113.77467170000001
2019-05-31,89.19522900000001
2019-06-07,0.0
2019-06-14,0.0
2019-06-21,69.69860600000001
2019-06-28,122.397552
2019-07-05,164.1867162
2019-07-12,172.2265554
2019-07-19,169.9366012
2019-07-26,180.5863882
2019-08-02,203.45883400000002
2019-08-09,220.6920378
2019-08-16,222.39328179999998
2019-08-23,229.04534740000003
2019-08-30,227.08460180000003
2019-09-06,194.9699302
2019-09-13,203.0866474
2019-09-20,218.66697340000002
2019-09-27,224.4087741
2019-10-04,229.60540780000002
2019-10-11,259.48481019999997
2019-10-18,262.7147456
2019-10-25,265.1246974
2019-11-01,309.2738144
2019-11-08,333.9133216
2019-11-15,304.7739044
2019-11-22,323.293534
2019-11-29,314.79370400000005
2019-12-06,233.2553348
2019-12-13,215.245695
2019-12-20,226.7554648
2019-12-27,193.2761344
2020-01-03,287.30425379999997
2020-01-10,361.6127676
2020-01-17,263.03473920000005
2020-01-24,348.9959277
2020-01-31,318.04363900000004
2020-02-07,186.86335480000002
2020-02-14,147.3081036
2020-02-21,144.8837428
2020-02-28,117.74743749999999
2020-03-06,55.40873740000001
2020-03-13,94.1168617
2020-03-20,114.4622679
2020-03-27,95.138727
2020-04-03,0.0
2020-04-10,0.060708000000000005
2020-04-17,0.037942500000000004
2020-04-24,0.0
2020-05-01,0.0
2020-05-08,19.593507000000002
2020-05-15,32.167651500000005
2020-05-22,60.806650499999996
2020-05-29,69.71554950000001
2020-06-05,77.721417
2020-06-12,85.39339050000001
2020-06-19,116.4698665
2020-06-26,110.5092774
2020-07-03,93.3645837
2020-07-10,81.8783624
2020-07-17,83.1789727
2020-07-24,85.3265811
2020-07-31,88.4394966
2020-08-07,86.12968000000001
2020-08-14,94.11916120000001
2020-08-21,86.0669865
2020-08-28,54.13657430000001
2020-09-04,61.5117412
2020-09-11,67.64821090000001
2020-09-18,79.8932816
2020-09-25,93.0402471
2020-10-02,167.10941760000003
2020-10-09,245.1380125
2020-10-16,263.5814654
2020-10-23,301.266675
2020-10-30,293.76126550000004
2020-11-06,331.02068749999995
2020-11-13,556.6900787
2020-11-20,436.2426167
2020-11-27,544.2224594
2020-12-04,744.4151113999999
2020-12-11,212.1959592
2020-12-18,262.8347432
2020-12-25,189.55174060000002
2021-01-01,220.7155856
2021-01-08,281.4843702
2021-01-15,361.7327652
