,Date,Price,change,cmo,ear,ena
206,2018-06-15,39021.85,-0.3,462.844359,53010.41286622,16494.27371645
207,2018-06-08,39541.51,0.56,405.2176323000001,53636.48131384,16156.82601858
208,2018-06-01,41388.24,3.17,363.755193,54278.40094639,16069.41852864
209,2018-05-25,40696.71,-0.6,286.93964040000003,54699.705333130005,17723.24540326
210,2018-05-18,41032.52,-0.5,269.8762563,54755.92143383,17897.63187403
211,2018-05-11,42855.66,-0.1,248.192059,55394.61687811,18333.01505842
212,2018-05-04,43076.93,-0.0,191.7883708,56157.79861627,19577.49000194
213,2018-04-27,43684.86,0.58,124.433115,56641.02238232,21780.99244032
214,2018-04-20,42644.38,-0.1,114.8874171,57109.34518245,25378.25876301
215,2018-04-13,41418.06,-0.8,85.9739891,56294.49399821,27852.67606655
216,2018-04-06,41627.02,-0.4,27.280554100000003,55301.23002711,31359.04952642
217,2018-03-23,41512.93,0.23,200.1071046,52223.53320284,32544.04990627
218,2018-03-16,41641.34,-0.0,214.32406010000005,50912.60182794,34741.13212953
219,2018-03-09,42013.04,0.45,205.263533,49376.19332469,34539.28942727
220,2018-03-02,42010.05,0.58,181.0146441,47857.6169736,34495.40841843
221,2018-02-23,42551.42,1.28,180.7021533,46069.32768722,32371.9546813
222,2018-02-16,40782.65,0.22,137.172078,44997.84163906,30724.16699944
223,2018-02-09,39844.91,-0.7,155.1774752,43195.17091253,33912.961183880005
224,2018-02-02,40563.17,-0.5,149.9478645,40879.54043574,32926.71828177
225,2018-01-26,40572.25,1.95,170.3747128,39097.0196661,32323.25722795
226,2018-01-19,39239.7,0.63,146.38305179999998,38140.68008599,36944.48780307
227,2018-01-12,39215.09,-0.3,161.16218,35980.74143839,40265.93078312
228,2018-01-05,39255.19,0.29,177.6678679,31401.02779647,38065.63531528
229,2017-12-22,38696.16,0.39,273.6045278,26679.50189,24787.35701
230,2017-12-15,38676.33,1.08,212.4157516,25928.51426,27201.47507
231,2017-12-08,38645.35,0.31,216.2356752,25511.51309,28610.85833
232,2017-12-01,38785.63,-0.3,204.3159136,24469.9842,24584.3455
233,2017-11-24,40156.45,0.16,446.0610786,23827.250460000003,21699.85157
234,2017-11-17,39337.7,0.13,476.8304632,23286.80703,17478.64683
235,2017-11-10,39220.95,-0.5,479.8704024,23322.82076,20020.9153
236,2017-11-03,39228.33,-1.0,823.1435368,23025.82807,20390.430040000003
237,2017-10-27,40899.21,0.25,860.4327910000001,23090.23339,10727.04508
238,2017-10-20,41626.47,0.17,860.8227832,24728.45327,8781.87163
239,2017-10-13,41859.02,-0.2,690.736185,26827.61554,11989.39746
240,2017-10-06,41898.2,-1.1,709.885802,28550.1043,10299.50545
241,2017-09-29,41305.79,1.2,725.6854860000001,30930.48699,7070.62232
242,2017-09-22,42118.53,-0.1,672.7165454000001,33779.90286,7195.32246
243,2017-09-15,42776.92,0.21,599.888002,36491.74632,7463.26004
244,2017-09-08,41988.55,0.93,489.840203,39056.37174,8191.65126
245,2017-09-01,41426.29,0.59,445.8510828,41060.62522,9864.32205
246,2017-08-25,41549.26,-0.6,505.8498828000001,42944.4627,13242.122
247,2017-08-18,40247.66,0.52,519.4196113999999,43784.70311,10659.7315
248,2017-08-11,39906.39,0.08,549.1790162000001,45510.10401,9513.45657
249,2017-08-04,40483.01,0.56,514.1097176000001,47427.45839,10345.26245
250,2017-07-28,39622.12,-0.4,273.22453540000004,49157.76638,10721.81799
251,2017-07-21,40207.72,0.32,270.7045858,50950.68998,11580.67435
252,2017-07-14,40091.59,0.16,253.5649286,52250.83497,12618.88153
253,2017-07-07,39307.09,0.3,230.2353952,53293.63028,14058.01052
254,2017-06-30,38095.18,0.89,143.3326182,54170.10955,15492.61302
255,2017-06-23,37722.2,-0.3,110.2353882,54941.81804,17640.51061
256,2017-06-16,37552.83,0.48,66.1270184,55233.67111,19539.58627
257,2017-06-09,37305.8,0.16,75.46443640000001,55254.34699,25068.98719
258,2017-06-02,37823.84,0.79,110.5824926,55052.47552,24803.08868
259,2017-05-26,37722.23,1.41,454.1689264,54155.32864,29646.17283
260,2017-05-19,36611.2,2.55,418.7806559,52079.60351,22128.00854
261,2017-05-12,40142.53,1.51,393.27354090000006,52373.94008,18996.56826
262,2017-05-05,39144.07,0.87,384.255344,52358.34464,20883.85941
263,2017-04-28,39201.52,0.98,301.619329,52126.7181,23492.829100000003
264,2017-04-07,39024.96,0.31,391.3895771,51808.34782,22967.04705
265,2017-03-31,39971.64,0.66,227.8486315,51942.30217,23427.98862
266,2017-03-24,39592.79,1.44,217.0350267,51992.98813,24040.52707
267,2017-03-17,40116.41,-0.1,216.2244195,51684.52487,23946.9661
268,2017-03-10,39985.9,0.5,168.9880369,51981.66856,27359.58869
269,2017-03-03,40855.96,1.32,157.2712768,50826.9944,26874.56127
270,2017-02-24,40518.88,-0.0,111.1242342,50189.06231,24512.34133
271,2017-02-17,40398.98,0.01,113.6464908,50507.33991,31890.44453
272,2017-02-10,39291.13,0.69,107.8377595,49387.211780000005,33775.93304
273,2017-02-03,39364.55,0.74,96.8211037,47470.87576,31889.69569
274,2017-01-27,38754.31,-0.6,116.6944989,46102.13291,34142.45148
275,2017-01-20,38235.31,0.8,118.2938363,43875.31228,30286.04245
276,2017-01-13,37847.18,0.57,93.9330656,42121.00226,24730.81919
277,2017-01-06,36110.92,-0.5,133.6373272,42024.14779,23050.23565
278,2016-12-23,34597.47,0.18,134.76730460000002,43075.56353,25370.54334
279,2016-12-16,34135.61,0.58,152.35695280000002,42296.1578,26434.59174
280,2016-12-09,33988.33,0.65,128.6197726,41667.16784,21065.38218
281,2016-12-02,33707.54,0.63,172.8765424,42375.20289,18534.6489
282,2016-11-25,34616.13,-0.2,190.95618080000003,43076.09642,19216.61777
283,2016-11-18,34547.28,1.56,216.9756604,43432.32904,19912.34542
284,2016-11-11,33913.08,-3.9,224.395512,42843.12541,13978.83899
285,2016-11-04,37007.19,-0.2,221.8979733,44112.78226,14884.22274
286,2016-10-28,38497.21,0.22,152.6569468,44891.83296,17507.30717
287,2016-10-21,38186.48,0.49,184.0063198,45839.71162,16600.41102
