ena_data,ena
2006-08-18,10563.165770000001
2006-08-19,10176.58121
2006-08-20,10057.457480000001
2006-08-21,9859.95877
2006-08-22,9601.90783
2006-08-23,9382.75626
2006-08-24,9156.68281
2006-08-25,8952.85693
2006-08-26,8835.0585
2006-08-27,9084.21776
2006-08-28,9238.98104
2006-08-29,9243.59145
2006-08-30,9608.21613
2006-08-31,9993.81169
2006-09-01,10069.44056
2006-09-02,9481.05841
2006-09-03,10577.00928
2006-09-04,11355.35051
2006-09-05,11400.73382
2006-09-06,11325.58747
2006-09-07,11267.22726
2006-09-08,11151.02333
2006-09-09,11046.69796
2006-09-10,10967.09631
2006-09-11,10734.788610000001
2006-09-12,10236.46486
2006-09-13,9902.32957
2006-09-14,9502.37262
2006-09-15,9303.36855
2006-09-16,9463.55642
2006-09-17,9498.95273
2006-09-18,9733.08361
2006-09-19,9772.44471
2006-09-20,10144.3376
2006-09-21,10713.999600000001
2006-09-22,11108.10483
2006-09-23,11719.38514
2006-09-24,12144.406630000001
2006-09-25,12399.22475
2006-09-26,12337.715549999999
2006-09-27,12209.00934
2006-09-28,12022.70092
2006-09-29,11868.09415
2006-09-30,11909.53318
2006-10-01,11925.92199
2006-10-02,12079.27241
2006-10-03,12408.50018
2006-10-04,12768.876600000001
2006-10-05,13284.31449
2006-10-06,14181.63931
2006-10-07,14986.34882
2006-10-08,15517.304510000002
2006-10-09,15644.82773
2006-10-10,15455.90262
2006-10-11,15257.27567
2006-10-12,15417.486079999999
2006-10-13,15378.25978
2006-10-14,15752.04746
2006-10-15,15973.660170000001
2006-10-16,16151.98971
2006-10-17,16513.77761
2006-10-18,17073.07979
2006-10-19,17234.26137
2006-10-20,17373.12472
2006-10-21,17762.31718
2006-10-22,17572.48419
2006-10-23,17043.699810000002
2006-10-24,16399.13012
2006-10-25,15715.3552
2006-10-26,15292.90193
2006-10-27,14701.607670000001
2006-10-28,14166.156550000002
2006-10-29,13726.41268
2006-10-30,13757.63185
2006-10-31,13547.75576
2006-11-01,13675.05835
2006-11-02,14251.657210000001
2006-11-03,14716.95289
2006-11-04,15439.73437
2006-11-05,16731.91755
2006-11-06,17519.61637
2006-11-07,18160.62479
2006-11-08,18676.049049999998
2006-11-09,19873.25689
2006-11-10,21157.554490000002
2006-11-11,21262.25588
2006-11-12,20393.35006
2006-11-13,19342.702380000002
2006-11-14,18068.69686
2006-11-15,17086.56536
2006-11-16,16457.92393
2006-11-17,15759.87234
2006-11-18,15583.84437
2006-11-19,16137.37789
2006-11-20,16414.96324
2006-11-21,16311.63645
2006-11-22,16335.782280000001
2006-11-23,16357.29479
2006-11-24,16591.36241
2006-11-25,17045.07124
2006-11-26,17902.50275
2006-11-27,18786.23083
2006-11-28,20249.586040000002
2006-11-29,21307.83498
2006-11-30,22305.45044
2006-12-01,23520.08272
2006-12-02,24259.50369
2006-12-03,24931.30125
2006-12-04,25047.0021
2006-12-05,25118.95123
2006-12-06,25854.425470000002
2006-12-07,27049.467220000002
2006-12-08,27925.72278
2006-12-09,29167.08484
2006-12-10,29918.505240000002
2006-12-11,31724.658320000002
2006-12-12,32829.49751
2006-12-13,33853.92669
2006-12-14,34493.05077
2006-12-15,35947.35863
2006-12-16,37109.11161
2006-12-17,37478.78634
2006-12-18,37684.633890000005
2006-12-19,38018.5279
2006-12-20,38835.8799
2006-12-21,38583.15279
2006-12-22,37954.1354
2006-12-23,37489.221300000005
2006-12-24,37742.32491
2006-12-25,35671.03884
2006-12-26,36568.18897
2006-12-27,36214.20397
2006-12-28,34642.80296
2006-12-29,35101.1738
2006-12-30,34572.631890000004
2006-12-31,33826.57569
2007-01-01,35200.12013
2007-01-02,38764.13587
2007-01-03,41598.66692
2007-01-04,43708.65656
2007-01-05,46124.56975
2007-01-06,49157.03358
2007-01-07,51564.948780000006
2007-01-08,52960.55558
2007-01-09,52180.70458
2007-01-10,51029.79585
2007-01-11,51930.75095
2007-01-12,52259.22678
2007-01-13,52546.08673
2007-01-14,52208.483550000004
2007-01-15,52402.098580000005
2007-01-16,51862.83269
2007-01-17,52007.81661
2007-01-18,52219.84147
2007-01-19,51264.70939
2007-01-20,49852.4409
2007-01-21,47767.46308
2007-01-22,48222.88144
2007-01-23,47717.53713
2007-01-24,47779.33154
2007-01-25,47261.27031
2007-01-26,46002.10119
2007-01-27,43916.76885
2007-01-28,43349.15425
2007-01-29,46877.12567
2007-01-30,46665.49074
2007-01-31,46609.016260000004
2007-02-01,45512.85853
2007-02-02,44911.37303
2007-02-03,44129.18118
2007-02-04,41072.87329
2007-02-05,43416.15064
2007-02-06,43393.10789
2007-02-07,43403.241760000004
2007-02-08,42250.57377
2007-02-09,39729.88747
2007-02-10,37551.75593
2007-02-11,34161.69554
2007-02-12,33308.53375
2007-02-13,33563.89116
2007-02-14,33156.83469
2007-02-15,34020.55791
2007-02-16,33661.42352
2007-02-17,32688.086260000004
2007-02-18,29272.69981
2007-02-19,29544.13368
2007-02-20,29271.24249
2007-02-21,30323.20856
2007-02-22,29849.54891
2007-02-23,29535.23275
2007-02-24,28561.268200000002
2007-02-25,26805.55474
2007-02-26,27326.44844
2007-02-27,26901.850290000002
2007-02-28,27185.88329
2007-03-01,26634.15556
2007-03-02,25635.6906
2007-03-03,24487.19597
2007-03-04,22259.194320000002
2007-03-05,22924.74614
2007-03-06,22519.24461
2007-03-07,22742.766050000002
2007-03-08,23761.9833
2007-03-09,24887.29157
2007-03-10,25257.17929
2007-03-11,23482.79959
2007-03-12,25228.56258
2007-03-13,26419.44859
2007-03-14,27662.51151
2007-03-15,27945.69085
2007-03-16,28722.18099
2007-03-17,29126.44801
2007-03-18,30298.87682
2007-03-19,32299.49346
2007-03-20,33286.97541
2007-03-21,33368.699700000005
2007-03-22,33476.73524
2007-03-23,33459.41064
2007-03-24,32321.98482
2007-03-25,31336.85359
2007-03-26,31372.539770000003
2007-03-27,30698.615
2007-03-28,29383.56183
2007-03-29,28298.41126
2007-03-30,26973.56985
2007-03-31,25601.44565
2007-04-01,24476.790660000002
2007-04-02,23807.43348
2007-04-03,23024.97244
2007-04-04,22311.77247
2007-04-05,22203.83098
2007-04-06,22319.2819
2007-04-07,22435.48494
2007-04-08,22669.76363
2007-04-09,22947.08492
2007-04-10,23206.64792
2007-04-11,23147.174890000002
2007-04-12,22919.987830000002
2007-04-13,22328.04819
2007-04-14,21807.05674
2007-04-15,21742.217810000002
2007-04-16,21601.21332
2007-04-17,21518.92521
2007-04-18,21544.109959999998
2007-04-19,21225.74123
2007-04-20,21108.31174
2007-04-21,21147.50328
2007-04-22,21268.34586
2007-04-23,21348.642340000002
2007-04-24,21538.005960000002
2007-04-25,22178.23602
2007-04-26,23557.686980000002
2007-04-27,23697.8461
2007-04-28,22541.76696
2007-04-29,19156.924010000002
2007-04-30,20633.58317
2007-05-01,19453.30281
2007-05-02,20596.08613
2007-05-03,20386.36796
2007-05-04,19639.54382
2007-05-05,17960.05655
2007-05-06,17545.90826
2007-05-07,18847.19372
2007-05-08,19777.19616
2007-05-09,19126.75718
2007-05-10,18786.10441
2007-05-11,17876.14579
2007-05-12,17672.78815
2007-05-13,17261.78005
2007-05-14,18248.53743
2007-05-15,18003.6918
2007-05-16,18291.17406
2007-05-17,18510.93165
2007-05-18,18076.78468
2007-05-19,17341.4848
2007-05-20,16670.46732
2007-05-21,17186.77055
2007-05-22,16732.58574
2007-05-23,18847.7002
2007-05-24,19608.58691
2007-05-25,20865.084860000003
2007-05-26,18368.65737
2007-05-27,17978.96915
2007-05-28,19608.49633
2007-05-29,20153.45724
2007-05-30,20003.7512
2007-05-31,19083.07504
2007-06-01,18414.967
2007-06-02,18320.40135
2007-06-03,17819.01852
2007-06-04,18182.91272
2007-06-05,18192.67247
2007-06-06,18131.54527
2007-06-07,17213.74688
2007-06-08,16670.67263
2007-06-09,16109.911020000001
2007-06-10,15357.93309
2007-06-11,15862.59258
2007-06-12,15743.985970000002
2007-06-13,15491.87808
2007-06-14,15297.32201
2007-06-15,15074.36209
2007-06-16,14905.34404
2007-06-17,14756.44605
2007-06-18,14644.97294
2007-06-19,14446.054600000001
2007-06-20,14233.498450000001
2007-06-21,13938.52546
2007-06-22,13672.26833
2007-06-23,13421.634930000002
2007-06-24,13236.11371
2007-06-25,13202.86618
2007-06-26,13092.99567
2007-06-27,13000.84829
2007-06-28,12851.09197
2007-06-29,12718.32844
2007-06-30,12735.3853
2007-07-01,12770.10845
2007-07-02,12731.12343
2007-07-03,12594.01933
2007-07-04,12544.03439
2007-07-05,12369.41358
2007-07-06,12244.69967
2007-07-07,12110.71566
2007-07-08,12182.53425
2007-07-09,13298.33114
2007-07-10,14397.9589
2007-07-11,13296.513570000001
2007-07-12,12725.40839
2007-07-13,12535.83257
2007-07-14,12556.41493
2007-07-15,12746.60413
2007-07-16,13522.84031
2007-07-17,14087.27671
2007-07-18,14853.21163
2007-07-19,15354.61316
2007-07-20,15365.86359
2007-07-21,15350.6661
2007-07-22,16984.50109
2007-07-23,16316.35196
2007-07-24,17303.02097
2007-07-25,19191.427920000002
2007-07-26,19673.12285
2007-07-27,20317.7856
2007-07-28,20718.410620000002
2007-07-29,19424.07326
2007-07-30,19232.3399
2007-07-31,18858.382560000002
2007-08-01,18190.23892
2007-08-02,17576.32574
2007-08-03,17140.91224
2007-08-04,15683.9913
2007-08-05,15376.769880000002
2007-08-06,14977.50218
2007-08-07,14370.56981
2007-08-08,13781.11291
2007-08-09,13194.55714
2007-08-10,12690.3616
2007-08-11,12324.19143
2007-08-12,12053.5087
2007-08-13,11879.65371
2007-08-14,11452.46321
2007-08-15,11139.37695
2007-08-16,10990.7134
2007-08-17,10828.91527
2007-08-18,10654.72028
2007-08-19,10614.82756
2007-08-20,10533.24755
2007-08-21,10365.988010000001
2007-08-22,10154.29669
2007-08-23,10022.5545
2007-08-24,9834.26718
2007-08-25,9600.22173
2007-08-26,9567.413489999999
2007-08-27,9636.43329
2007-08-28,9567.292590000001
2007-08-29,9510.72651
2007-08-30,9500.24438
2007-08-31,9565.0727
2007-09-01,9731.07353
2007-09-02,9778.62515
2007-09-03,9928.51581
2007-09-04,9668.15283
2007-09-05,9441.51261
2007-09-06,9234.72285
2007-09-07,9096.8537
2007-09-08,8813.22805
2007-09-09,8667.621210000001
2007-09-10,8605.18999
2007-09-11,8430.97333
2007-09-12,8351.24452
2007-09-13,8262.218
2007-09-14,8187.283560000001
2007-09-15,8201.092
2007-09-16,8191.90062
2007-09-17,8176.858160000001
2007-09-18,8044.95932
2007-09-19,7928.833170000001
2007-09-20,7919.682760000001
2007-09-21,8226.89343
2007-09-22,9353.14427
2007-09-23,10337.45651
2007-09-24,10056.94873
2007-09-25,8228.27889
2007-09-26,7588.29729
2007-09-27,7695.53017
2007-09-28,7897.5486200000005
2007-09-29,8082.82343
2007-09-30,7896.962640000001
2007-10-01,7781.5331400000005
2007-10-02,7495.92912
2007-10-03,7340.613370000001
2007-10-04,7219.31815
2007-10-05,6918.53621
2007-10-06,6930.8064699999995
2007-10-07,6899.11958
2007-10-08,6796.19188
2007-10-09,6464.17707
2007-10-10,6163.36672
2007-10-11,6097.67957
2007-10-12,6726.253290000001
2007-10-13,7340.549300000001
2007-10-14,7365.70546
2007-10-15,7547.77164
2007-10-16,8398.82979
2007-10-17,8821.25948
2007-10-18,8310.380710000001
2007-10-19,7955.6894600000005
2007-10-20,8152.5677000000005
2007-10-21,8209.434360000001
2007-10-22,8729.23377
2007-10-23,8992.47873
2007-10-24,9370.892
2007-10-25,9889.53636
2007-10-26,10424.69124
2007-10-27,10698.68751
2007-10-28,10833.01895
2007-10-29,11491.82737
2007-10-30,11822.606310000001
2007-10-31,11832.398580000001
2007-11-01,12033.88026
2007-11-02,12720.2531
2007-11-03,13123.43603
2007-11-04,13644.043450000001
2007-11-05,14008.58597
2007-11-06,14487.07616
2007-11-07,14729.9177
2007-11-08,15116.93935
2007-11-09,15313.61748
2007-11-10,15952.109040000001
