nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-02;1274.142;;3370.499;;37.8028
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;583.13;;1531.054;;38.0868
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;242.788;;425.126;;57.1097
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;626.433;;1415.959;;44.2409
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2021-12-02;28.522;;28.109;;101.4693
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;2829.801;;21873.496;;12.9371
ERNESTINA;110;Reservatório sem usina;JACUI;SUL;S;SUL;;;2021-12-02;160.261;;200.552;;79.9099
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;54.11;;112.927;;47.9159
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-02;279.636;;813.622;;34.3693
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;7170.12;;34989.943;;20.4919
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-02;3304.756;;5880.363;;56.1999
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2021-12-02;181.493;;374.956;;48.4038
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;22.106;;101.775;;21.7205
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-12-02;230.37;;408.675;;56.37
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2021-12-02;0.0;;3691.575;;0.0
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-02;459.542;259.765;1962.895;1004.893;23.4114
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2021-12-02;2009.491;;3418.033;;58.7909
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;2801.182;;15706.409;;17.8346
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-02;303.451;;1213.775;;25.0006
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2021-12-02;7.745;;20.306;;38.1414
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-02;927.261;;4121.37;;22.4989
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-02;431.515;;512.183;;84.2502
